id,description,theme,genre
1020762,A recently-widowed science fiction writer considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially-rejected boy who says he's really from Mars.,"Moving relationship stories|Monsters, aliens, sci-fi and the apocalypse|Touching and sentimental family stories|Emotional and touching family dramas|Powerful stories of heartbreak and suffering|Adorable animals and heartwarming families|Surreal and thought-provoking visions of life and death",Drama|Comedy
1002029,"The one that started them all. A powerful and ruthless vampire named Count Dracula arrives in London to prey on young, socialite women. Standing in the vampire's way, is a group of concerned men and the enigmatic Dr. Abraham Van Helsing. The beginning of Universal Horror in the sound era.","Horror, the undead and monster classics|Creepy, chilling, and terrifying horror|Terrifying, haunted, and supernatural horror|Gothic and eerie haunting horror|Chilling experiments and classic monster horror|Bloody vampire horror",Horror
1011149,"A coming-of-age joyride about Cootie, a 13ft tall young Black man in Oakland, CA. Having grown up hidden away, Cootie soon experiences the beauty and contradictions of the world for the first time. He forms friendships, finds love, navigates awkward situations, and encounters his idol, a real life superhero named The Hero.","Humanity and the world around us|Dreamlike, quirky, and surreal storytelling|Surreal and thought-provoking visions of life and death",Drama|Comedy
1014704,"A noble swordsman, whose arm had been chopped off, returns to his former teacher to defend him from a villainous gang of rival swordsmen.","Epic heroes|Intense combat and martial arts|Fantasy adventure, heroism, and swordplay",Drama|Action
1018548,"A former government operative renowned for his stealth, Jack Cole is now a Los Angeles police detective. When a series of horrible murders occurs in the metro area, Cole is assigned to the case, along with tough-talking fellow cop Jim Campbell. Although the two men clash, they gradually become effective partners as they uncover a conspiracy linked to the killings, which also involves terrorism and organized crime.","Thrillers and murder mysteries|Epic heroes|High speed and special ops|Crime, drugs and gangsters|Violent action, guns, and crime|Suspenseful crime thrillers|Explosive and action-packed heroes vs. villains|Intriguing and suspenseful murder mysteries|Adrenaline-fueled action and fast cars",Crime|Action
1036600,"Mikey and Rose are professional assassins. They are also lovers, and once upon a time Rose also knew Mikey's father. During an elaborate hit job for a malicious gangster, Rose fails to kill the main target, the gangster's pregnant girlfriend. Instead, she delivers her baby and convinces Mikey to help her protect them both. As Rose weakens from cancer, Mikey becomes breadwinner for this unusual family. But tranquility will not last.","Crime, drugs and gangsters|Challenging or sexual themes & twists|Erotic relationships and desire|Gritty crime and ruthless gangsters|Twisted dark psychological thriller|Graphic violence and brutal revenge",Action|Drama|Crime|Thriller
1002167,A college student starts to experience extreme seizures. She soon learns that the violent episodes are a symptom of inexplicable abilities.,"Horror, the undead and monster classics|Humanity and the world around us|Terrifying, haunted, and supernatural horror|Twisted dark psychological thriller|Gothic and eerie haunting horror|Powerful stories of heartbreak and suffering|Surreal and thought-provoking visions of life and death",Drama|Thriller|Mystery
1029218,"Civilization has been destroyed by war and pollution, but the survivors have built the last city of Ecoban. As most natural resources have been exhausted, Ecoban is powered by pollution. The citizens of Ecoban need to continue creating this pollution leading them into conflict with the inhabitants of Marr while one man just wants to clear away the clouds and see the sky.",Epic heroes|Emotional and captivating fantasy storytelling|Dangerous technology and the apocalypse|Thought-provoking sci-fi action and future technology,Animation|Science Fiction
1056314,Three sisters share a connection to a violent incident from their childhood reunite to for the chance to come to terms with their past.,Humanity and the world around us|Passion and romance|Captivating relationships and charming romance|Enduring stories of family and marital drama|Powerful poetic and passionate drama|Erotic relationships and desire,Drama
1071503,"Pat Baker is a small town sheriff. His son, Kurt, is a deranged young man with a dark secret. Sheriff Baker's worst nightmare comes true when Kurt escapes from a psychiatric hospital where he was locked away for the brutal murder of his mother thirteen years earlier. Gary, a hospital security guard, sets out into the woods to stop him, but soon finds himself relentlessly hunted by the deranged psychopath intent on killing him and anyone who crosses his path. Sheriff Baker launches an intense search to find his son, only to discover that his daughter, Sara, and her friends are camping in the same woods where Kurt has escaped. Kurt's psychosis escalates, as does his vengeful killing spree, culminating in a terrifying, climactic confrontation with Kurt, the sheriff and his family.","Intense violence and sexual transgression|Gory, gruesome, and slasher horror|Twisted dark psychological thriller|Terrifying, haunted, and supernatural horror|Gothic and eerie haunting horror|Challenging or sexual themes & twists",Horror|Thriller
1012426,"French secret service agent Josselin Beaumont is dispatched to take down African warlord N'Jala. But when his assignment is canceled, he's shocked to learn that his government is surrendering him to local authorities. He is given a mock trial and sentenced to 20 years of hard labor. But Beaumont escapes from prison and vows not only to avenge himself against his betrayers but also to finish his original assignment.","High speed and special ops|Explosive and action-packed heroes vs. villains|Exciting spy thrillers with tense intrigue|Intense political and terrorist thrillers|Adrenaline-fueled action and fast cars|Brutal, violent prison drama",Adventure|Action|Thriller
1103923,"A turn of the century ritual to raise the feminine evil goes horribly awry and leaves a she demon dormant on the ceremonial grounds. Sixty years later a young couple moves into a house built on the ancient grounds and their daughter's murder leaves the house abandoned for yet another forty years. Now, six fun loving college students are hired to clean up the house for a greedy real estate mogul who plans to sell it for a large profit. They unwittingly awake the demon and only the ultimate sacrifice can save the world from a future of unspeakable evil.","Horror, the undead and monster classics|Crude humor and satire|Gory, gruesome, and slasher horror|Terrifying, haunted, and supernatural horror|Survival horror and zombie carnage|Spooky, scary comedy|Gothic and eerie haunting horror",Horror
1008001,"Eight years after the opening night tragedy of HELL HOUSE LLC, many unanswered questions remain. Thanks to an anonymous tip, an investigative journalist is convinced that key evidence is hidden inside the abandoned Abaddon Hotel. She assembles a team to break into the hotel in hopes of discovering the truth. But the source of the tip and the secrets of the Abaddon Hotel are more horrifying than any of them could have imagined.","Horror, the undead and monster classics|Terrifying, haunted, and supernatural horror|Creepy, chilling, and terrifying horror|Gothic and eerie haunting horror",Horror|Mystery
1023305,Vicky Barton and her brother Johnny travel from Naples to visit the 1889 Paris Exhibition. They both sleep in seperate rooms in their hotel. When the she gets up in the morning she finds her brother and his room have disappeared and no one will even acknowledge that he was ever there. Now Vicky must find out what exactly happened to her brother.,Thrillers and murder mysteries|Intriguing and suspenseful murder mysteries|Suspenseful crime thrillers,Mystery|Thriller|Drama
1002888,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",Song and dance|Underdogs and coming of age|Moving relationship stories|Powerful stories of heartbreak and suffering|Emotional and touching family dramas|Touching and sentimental family stories|Emotional teen coming-of-age stories|Dazzling vocal performances and musicals,Drama
1013495,"Ordinary single girl Amanda Pierce unexpectedly finds herself sharing an awesome Manhattan apartment with four sexy supermodels. Determined to bring Amanda into their world, the models give her the ultimate makeover. The plan works fabulously as Amanda connects with next door charmer Jim Winston. That is, until one night...","Crude humor and satire|Relationship comedy|Laugh-out-loud relationship entanglements|Funny jokes and crude humor|Gags, jokes, and slapstick humor|Catchy songs and hilarious musical comedy|Amusing jokes and witty satire",Comedy|Romance
1025773,An infatuated debutante renews a Shakespearean actor's running feud with his leading lady.,"Relationship comedy|Crude humor and satire|Charming romances and delightful chemistry|Laugh-out-loud relationship entanglements|Gags, jokes, and slapstick humor|Amusing jokes and witty satire|Catchy songs and hilarious musical comedy",Comedy|Romance
1030228,"The year is 2509 and not only has Earth lost contact with the Ishimura and Isaac Clarke, but now also the USG O'Bannon, the first responder ship sent to rescue them. Four crew members of the O'Bannon have survived. But what happened to the rest of the crew? What were they doing? What secrets are they keeping? All to be revealed...in the Aftermath! --- Dead Space: Aftermath is a fast paced, horrifying thrill ride told through the perspective of the four survivors by several renowned international directors. Dead Space: Aftermath is an animated film that bridges the storyline between the video games Dead Space and Dead Space 2.","Monsters, aliens, sci-fi and the apocalypse|Sci-fi horror, creatures, and aliens",Animation|Horror|Science Fiction
1026185,"As Nick and Rachel's crimes escalate to bigger and bigger stars, CCTV footage of the Hollywood Hills burglars begins to circulate the gossip blogs. Alexis and her family are on the brink of reality TV fame, but her drug issues spiral.","Intense violence and sexual transgression|Fascinating, emotional stories and documentaries",Crime|Documentary
1016293,"A New Yorker hobo moves into a mansion and along the way he gathers friends to live in the house with him. Before he knows it, he is living with the actual home owners.",Relationship comedy|Crude humor and satire|Holiday joy and heartwarming Christmas|Charming romances and delightful chemistry|Laugh-out-loud relationship entanglements|Quirky and endearing relationships|Touching and sentimental family stories,Music|Romance|Comedy
1024134,"A moll, imprisoned after participating in a bank robbery, helps with a breakout plot.","Crime, drugs and gangsters|Brutal, violent prison drama|Heists and thrilling action|Gritty crime and ruthless gangsters",Crime|Drama|Romance
1004590,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.","War and historical adventure|Epic heroes|Military combat and heroic soldiers|Brutal, violent prison drama|Nazis and World War II|Bravery in War|Violent action, guns, and crime",Adventure|Action|War
1022409,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,Epic heroes|Intense combat and martial arts|Superheroes in action-packed battles with villains,Action|Fantasy
1020080,"Morgan and his friends are on a hunting trip on a remote Canadian island when they are attacked by a swarm of giant wasps. Looking for help, Morgan stumbles across a barn inhabited by an enormous killer chicken. After doing some exploring, they discover the entire island is crawling with animals that have somehow grown to giant size. The most dangerous of all of these, however, are the rats, who are mobilizing to do battle with the human intruders.","Horror, the undead and monster classics|Sci-fi horror, creatures, and aliens|Sci-fi monster and dinosaur adventures|Gory, gruesome, and slasher horror|Survival horror and zombie carnage|Chilling experiments and classic monster horror",Horror|Science Fiction
1014851,"When a small-town girl is incorrectly diagnosed with a rare, deadly disease, an unknowing newspaper columnist turns her into a national heroine.","Crude humor and satire|Relationship comedy|Gags, jokes, and slapstick humor|Funny jokes and crude humor|Amusing jokes and witty satire|Laugh-out-loud relationship entanglements|Kids' animated fun and adventure",Romance|Comedy
1117268,"Musical dancer on the way out (at 36) Paula McFadden had it swell with actor Tony DeSanti, but instead of taking her to Hollywood he gets a European movie part. He even sublets their (his) New York apartment to Elliot Garfield, who generously lets her stay, even keeping the master bedroom. Pragmatic pre-teen daughter Lucy soon takes to his charm, but Paula remains determined to hate all actors. Despite the stress of a Broadway Shakespeare lead he must play too queer for Frisco, he's determined to snatch romance from ingratitude.",Relationship comedy|Charming romances and delightful chemistry|Laugh-out-loud relationship entanglements,Romance|TV Movie|Comedy
1008020,"Haru, an orphaned American who washes ashore in Japan and is mistaken for the great White Ninja of legend. Raised among the finest Ninjas, Haru grows strong and big - very big. With the grace of all Three Stooges rolled into one body, Haru is an embarrassment to his clan. But when a beautiful blonde pleads for his help, Haru is given one dangerous, disastrously funny chance to prove himself.","Crude humor and satire|Gags, jokes, and slapstick humor|Funny jokes and crude humor|Amusing jokes and witty satire|Catchy songs and hilarious musical comedy|Action comedy and silly heroics",Action|Comedy
1009271,"A rebellious youth sentenced to a reformatory for robbing a bakery rises through the ranks of the institution through his prowess as a long distance runner. During his solitary runs, reveries of his life and times before his incarceration lead him to re-evaluate his privileged status as a prized athlete.",Underdogs and coming of age|Underdog fighting and boxing stories|Teen friendship and coming-of-age,Drama
1015440,"After a harsh childhood, orphan Jane Eyre is hired by Edward Rochester, the brooding lord of a mysterious manor house to care for his young daughter.",Moving relationship stories|Passion and romance|Touching and sentimental family stories|Powerful stories of heartbreak and suffering|Captivating relationships and charming romance|Heartbreaking and moving family drama,Romance|Drama
1050548,A tough as nails private investigator (Malone) squares off with gangsters and their thugs to protect a valuable secret. Malone goes through hell to protect the information but he dishes some hell as well...,"Crime, drugs and gangsters|Violent action, guns, and crime|Action comedy and silly heroics|Noir and dark crime dramas|Gags, jokes, and slapstick humor|Intense combat and martial arts",Crime|Thriller|Action
1011012,"Arthur Bishop is a veteran hit man who, owing to his penchant for making his targets' deaths seem like accidents, thinks himself an artist. It's made him very rich, but as he hits middle age, he's so depressed and lonely that he takes on one of his victim's sons, Steve McKenna, as his apprentice. Arthur puts him through a rigorous training period and brings him on several hits. As Steven improves, Arthur worries that he'll discover who killed his father.","Crime, drugs and gangsters|High speed and special ops|Violent action, guns, and crime|Gritty crime and ruthless gangsters|Heists and thrilling action|Intriguing and suspenseful murder mysteries|Twisted dark psychological thriller",Action|Thriller
1011198,"Two New York City girls make a pact to lose their virginity during their first summer out of high school. When they both fall for the same street artist, the friends find their connection tested for the first time.",Underdogs and coming of age|Emotional teen coming-of-age stories|Emotional and touching family dramas|Touching and sentimental family stories|Powerful stories of heartbreak and suffering|Quirky and endearing relationships,Drama
1014051,"Good-natured Reverend Henry Biggs finds that his marriage to choir mistress Julia is flagging, due to his constant absence caring for the deprived neighborhood they live in. On top of all this, his church is coming under threat from property developer Joe Hamilton. In desperation, Biggs prays to God for help – which arrives in the form of an angel named Dudley.",Relationship comedy|Holiday joy and heartwarming Christmas|Laugh-out-loud relationship entanglements|Charming romances and delightful chemistry,Romance|Comedy|Family|Fantasy|Drama
1003588,"A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished.","Horror, the undead and monster classics|Intense violence and sexual transgression|Extreme gory horror and cannibalism|Gory, gruesome, and slasher horror|Graphic violence and brutal revenge|Sci-fi horror, creatures, and aliens|Terrifying, haunted, and supernatural horror",Thriller|Horror|Adventure
1018143,"After falling from the Twin Towers, Kong lies in a coma for ten years. When his heart begins to fail, scientists engineer an artificial heart, and a giant female ape is captured to serve as a source for a blood transfusion. When Kong awakens following his heart transplant, he senses the nearby presence of the female ape and the two escape to wreak havoc together.",Epic heroes|Sci-fi monster and dinosaur adventures|Chilling experiments and classic monster horror,Fantasy|Action|Adventure
1002419,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen.,"Crude humor and satire|Underdogs and coming of age|Relationship comedy|Funny jokes and crude humor|Teen school antics and laughter|Laugh-out-loud relationship entanglements|Gags, jokes, and slapstick humor|Catchy songs and hilarious musical comedy",Comedy
1074469,"With a ticking bomb locked to his neck, a young freerunner races against the clock and all types of baddies to get from one end of the city to the other to save himself and his girlfriend.",High speed and special ops|Adrenaline-fueled action and fast cars|Action comedy and silly heroics|Explosive and action-packed heroes vs. villains,Action
1017159,"In this comedic fantasy, science has facilitated the search for a soul mate via biotechnological implants that count down to the moment one is supposed to meet his or her match. But Oona is worried: She's nearly 30, and her TiMER isn't ticking yet. Will her dream guy get snatched up by someone else?",Relationship comedy|Laugh-out-loud relationship entanglements|Charming romances and delightful chemistry|Quirky and endearing relationships,Science Fiction|Romance|Fantasy|Drama|Comedy
1060690,"Sergeant Cody Cullen is deeply touched by a homemade Christmas card he receives while serving in Afghanistan. Upon his discharge, he treks to the picturesque California town of Nevada City. Cody is soon welcomed into the Spelman home and unexpectedly falls in love with the woman who sent the card, Faith.",Moving relationship stories|Touching and sentimental family stories|Charming romances and delightful chemistry|Captivating relationships and charming romance|Heartbreaking and moving family drama|Holiday joy and heartwarming Christmas,Romance|TV Movie|Drama
1002901,A deranged media mogul is staging international incidents to pit the world’s superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,High speed and special ops|Epic heroes|Explosive and action-packed heroes vs. villains|Superheroes in action-packed battles with villains|Adrenaline-fueled action and fast cars|Intense combat and martial arts|Exciting spy thrillers with tense intrigue,Action|Thriller|Adventure
1017092,"Kabir, a genius yet hostile medical student, falls in love with Preeti from his college. When Preeti's father spots the couple kissing, he opposes their relationship and decides to marry her off.",Moving relationship stories|Bollywood emotional dramas|Emotional teen coming-of-age stories|Powerful stories of heartbreak and suffering,Romance|Drama
1009098,"After being framed by corrupt superiors and brutally assaulted in prison, Officer Matt Cordell teams up with a vicious serial killer to track down those that wronged him.","Thrillers and murder mysteries|Horror, the undead and monster classics|Violent action, guns, and crime|Gory, gruesome, and slasher horror|Suspenseful crime thrillers|Explosive and action-packed heroes vs. villains|Brutal, violent prison drama",Thriller|Horror|Action
1011398,"A flapper shopgirl woos her rich boss with animal magnetism, otherwise known as ""it.""",Relationship comedy|Laugh-out-loud relationship entanglements|Charming romances and delightful chemistry,Comedy|Romance
1005495,"Rogue agent Gabriel Shear is determined to get his mitts on $9 billion stashed in a secret Drug Enforcement Administration account. He wants the cash to fight terrorism, but lacks the computer skills necessary to hack into the government mainframe. Enter Stanley Jobson, a n'er-do-well encryption expert who can log into anything.","High speed and special ops|Crime, drugs and gangsters|Explosive and action-packed heroes vs. villains|Adrenaline-fueled action and fast cars|Heists and thrilling action|Superheroes in action-packed battles with villains|Exciting spy thrillers with tense intrigue",Thriller|Crime|Action
1002536,"Forced into early retirement by a degenerative illness, former baseball player Ray Waller moves into a new house with his wife and two children. He hopes that the backyard swimming pool will be fun for the kids and provide physical therapy for himself. However, a dark secret from the home's past soon unleashes a malevolent force that drags the family into the depths of inescapable terror.","Horror, the undead and monster classics|Terrifying, haunted, and supernatural horror|Creepy, chilling, and terrifying horror|Twisted dark psychological thriller|Gothic and eerie haunting horror|Chilling experiments and classic monster horror",Horror
1006419,"Gambler Nathan Detroit has few options for the location of his big craps game. Needing $1,000 to pay a garage owner to host the game, Nathan bets Sky Masterson that Sky cannot get virtuous Sarah Brown out on a date. Despite some resistance, Sky negotiates a date with her in exchange for bringing people into her mission. Meanwhile, Nathan's longtime fiancée, Adelaide, wants him to go legit and marry her.",Song and dance|Dazzling vocal performances and musicals|Catchy songs and hilarious musical comedy|Charming romances and delightful chemistry|Dance rhythms and catchy tunes,Romance|Comedy|Crime
1002200,"During her wedding ceremony, Rachel notices Luce in the audience and feels instantly drawn to her. The two women become close friends, and when Rachel learns that Luce is a lesbian, she realizes that despite her happy marriage to Heck, she is falling for Luce. As she questions her sexual orientation, Rachel must decide between her stable relationship with Heck and her exhilarating new romance with Luce.",Relationship comedy|Crude humor and satire|Moving relationship stories|Laugh-out-loud relationship entanglements|Charming romances and delightful chemistry|Emotional LGBTQ relationships|Passion and romance|Quirky and endearing relationships,Drama|Comedy|Romance
1005455,"Two penniless orphans, Black and White, struggle to survive on the mean streets of Treasure Town. When a megacorporation threatens to tear down the town to build an amusement park, Black and White engage in the fight of their life.","Crime, drugs and gangsters|Emotional and captivating fantasy storytelling|Surreal and thought-provoking visions of life and death",Action|Adventure|Animation
1007420,"The mobster husbands of three 1978 Hell's Kitchen housewives are sent to prison by the FBI. Left with little but a sharp ax to grind, the ladies take the Irish mafia's matters into their own hands — proving unexpectedly adept at everything from running the rackets to taking out the competition… literally.","Crime, drugs and gangsters|Gritty crime and ruthless gangsters|Violent action, guns, and crime|Violent crime and drugs|Brutal, violent prison drama",Action|Drama|Crime
1000195,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company may be hiding disturbing secrets.,Intense violence and sexual transgression|Twisted dark psychological thriller|Suspenseful crime thrillers|Intense political and terrorist thrillers,Thriller|Drama|Mystery
1003798,"Two actresses, Béatrice Dalle and Charlotte Gainsbourg, are on a film set telling stories about witches.",Humanity and the world around us|Challenging or sexual themes & twists,Horror|Drama
1020991,A mysterious — and suspicious — run of ill fortune plagues a teenage girl and her mother and sister on their hillside farm in this folk story set in the dark hills of Wales during the industrial revolution.,"Horror, the undead and monster classics|Terrifying, haunted, and supernatural horror|Creepy, chilling, and terrifying horror|Gothic and eerie haunting horror|Chilling experiments and classic monster horror|Gripping, intense violent crime",History|Mystery|Horror|Drama
1073030,"On a hot summer afternoon in the sleepy town of Blackwater Louisiana, a meteor streaks across the sky and crashes through the roof of the local Natural History Museum. The meteor is actually a spaceship containing an alien life form which animates the museum's partially frozen Woolly Mammoth and begins a rampage. Local authorities and Government Investigators join forces with Frank Abernathy, the Museum Curator, and his father Simon, a B-Movie enthusiast, to bring down the giant mammoth in this alien-invasion flick!","Monsters, aliens, sci-fi and the apocalypse|Crude humor and satire|Sci-fi horror, creatures, and aliens|Sci-fi monster and dinosaur adventures|Action-packed space and alien sagas|Action comedy and silly heroics|Imaginative space odysseys and alien encounters",Science Fiction|TV Movie|Action|Horror|Adventure|Comedy
1225136,"Set 10 years after the U.S.S Voyager's return to Earth, a motley crew of renegades, outcasts, and criminals must secretly work with Admiral Chekov and Tuvok to stop forces threatening the Federation.","Monsters, aliens, sci-fi and the apocalypse|Action-packed space and alien sagas",Adventure|Action|Science Fiction
1041504,"Kim is expelled from his eighth school and finds himself at Volcano High where students fight to possess a treasured ancient document. Kim, who must resist from using his Chi, is caught in the middle.",Crude humor and satire|Intense combat and martial arts|Action comedy and silly heroics,Action|Comedy
1019235,"In 1925 Korea, Japanese rulers demand the last remaining tiger be killed. The tiger easily defeats his pursuers until a legendary hunter takes him on.","Epic heroes|Emotional and captivating fantasy storytelling|Fantasy adventure, heroism, and swordplay|Epic adventure and breathtaking battles|Powerful stories of heartbreak and suffering",Drama|Adventure|History|Action
1004108,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,Crude humor and satire|Kids' animated fun and adventure|Adorable animals and heartwarming families|Holiday joy and heartwarming Christmas|Laugh-out-loud relationship entanglements|Teen school antics and laughter,Comedy|Fantasy|Family
1101709,25 year old Danny Hill's grandmother just died giving Danny the chance to move into her enormous rent controlled apartment in Manhattan. Danny must lock himself in for twelve days before he can take over the lease. There's just one problem -- he may not be the only occupant.,"Horror, the undead and monster classics|Intense violence and sexual transgression|Twisted dark psychological thriller|Terrifying, haunted, and supernatural horror|Gory, gruesome, and slasher horror|Gothic and eerie haunting horror|Creepy, chilling, and terrifying horror",Thriller|Horror
1053677,"Thrown naked into a desolate room with thirteen strangers, Tonya discovers that she is the final contestant in a deadly game. Restrained by lethal electronic collars, the players must utilize hints and tools from a box marked ""pieces"" to find both an exit and the reason for their abduction. One by one the players are eliminated as their ""curfew"" begins and the lights go out. With each dead body comes another clue, which they use to discover that one of them is the killer. The question is ... which one?","Horror, the undead and monster classics|Graphic violence and brutal revenge|Intriguing and suspenseful murder mysteries",Thriller|Mystery|Horror
1012363,"The friendship of a group of young friends struggling with teen sex, drugs, and work is jeopardized by a romantic interest which may turn pals into bitter rivals.",Underdogs and coming of age|Crude humor and satire|Teen school antics and laughter|Emotional teen coming-of-age stories|Student coming-of-age challenges|Quirky and endearing relationships|Funny jokes and crude humor,Comedy
1088096,"NYPD Detective Sara Pezzini's main goal in life was to bring down Tommy Gallo, the hitman who killed her father, her best friend, and eventually her partner. While chasing down one of Gallo's thugs, she acquires the Witchblade, an enchanted armored glove once used by Joan of Arc that deflects bullets, extends into bladed weapons, produces visions, and neatly compacts itself into a bracelet.",Epic heroes|Intense combat and martial arts,Action|Fantasy|TV Movie|Mystery
1021380,"Maternity wards echo with the patter of tiny claws as more murderous baby-faced monsters are born. But rather than kill their monstrous off-spring during delivery, cursed parents flee to secret incubation hide-outs.","Horror, the undead and monster classics|Chilling experiments and classic monster horror|Sci-fi horror, creatures, and aliens|Gory, gruesome, and slasher horror",Horror|Science Fiction
1001619,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.","Thrillers and murder mysteries|Intense violence and sexual transgression|Horror, the undead and monster classics|Gory, gruesome, and slasher horror|Twisted dark psychological thriller|Graphic violence and brutal revenge|Suspenseful crime thrillers|Intriguing and suspenseful murder mysteries",Crime|Horror|Thriller
1002388,"Tracy, a lonely college freshman in New York, is rescued from her solitude by her soon-to-be stepsister Brooke, an adventurous gal about town who entangles her in alluringly mad schemes.",Relationship comedy|Crude humor and satire|Laugh-out-loud relationship entanglements|Charming romances and delightful chemistry|Quirky and endearing relationships|Funny jokes and crude humor|Teen school antics and laughter,Comedy
1046178,"In Havana, Cuba in the late 1950's, a wealthy family, one of whose sons is a prominent nightclub owner, is caught in the violent transition from the oppressive regime of Batista to the Marxist government of Fidel Castro. Castro's regime ultimately leads the nightclub owner to flee to New York.","Politics and human rights|Political drama, patriotism, and war|Riveting political and presidential drama|Powerful poetic and passionate drama|Passion and romance|Tragic sadness and captivating beauty",Drama|History|Romance
1001646,"A group of strangers find themselves trapped in a maze-like prison. It soon becomes clear that each of them possesses the peculiar skills necessary to escape, if they don't wind up dead first.","Horror, the undead and monster classics|Monsters, aliens, sci-fi and the apocalypse|Intense violence and sexual transgression|Twisted dark psychological thriller|Sci-fi horror, creatures, and aliens|Gory, gruesome, and slasher horror|Terrifying, haunted, and supernatural horror|Gothic and eerie haunting horror",Thriller|Science Fiction|Mystery
